TimePeriod,Geography,Hispanic alone (percent)
2017-21,Mott Haven-Port Morris,69.6
2017-21,Melrose,70.2
2017-21,Hunts Point,71.8
2017-21,Longwood,73.0
2017-21,Morrisania,55.5
2017-21,Claremont Village-Claremont (East),47.3
2017-21,Crotona Park East,62.1
2017-21,Concourse-Concourse Village,59.4
2017-21,Highbridge,61.8
2017-21,Mount Eden-Claremont (West),71.0
2017-21,University Heights (South)-Morris Heights,68.7
2017-21,Mount Hope,64.6
2017-21,Fordham Heights,75.5
2017-21,West Farms,73.4
2017-21,Tremont,62.4
2017-21,Belmont,61.2
2017-21,University Heights (North)-Fordham,82.1
2017-21,Bedford Park,75.1
2017-21,Norwood,60.7
2017-21,Kingsbridge Heights-Van Cortlandt Village,71.1
2017-21,Kingsbridge-Marble Hill,67.1
2017-21,Riverdale-Spuyten Duyvil,25.0
2017-21,Soundview-Bruckner-Bronx River,63.7
2017-21,Soundview-Clason Point,67.7
2017-21,Castle Hill-Unionport,54.9
2017-21,Parkchester,38.8
2017-21,Westchester Square,58.0
2017-21,Throgs Neck-Schuylerville,50.3
2017-21,Pelham Bay-Country Club-City Island,41.1
2017-21,Co-op City,28.5
2017-21,Pelham Parkway-Van Nest,56.1
2017-21,Morris Park,40.2
2017-21,Pelham Gardens,35.7
2017-21,Allerton,50.1
2017-21,Williamsbridge-Olinville,33.6
2017-21,Eastchester-Edenwald-Baychester,28.4
2017-21,Wakefield-Woodlawn,21.2
2017-21,Greenpoint,14.7
2017-21,Williamsburg,29.9
2017-21,South Williamsburg,8.4
2017-21,East Williamsburg,37.6
2017-21,Brooklyn Heights,7.0
2017-21,Downtown Brooklyn-DUMBO-Boerum Hill,15.6
2017-21,Fort Greene,16.1
2017-21,Clinton Hill,13.4
2017-21,Bedford-Stuyvesant (West),19.5
2017-21,Bedford-Stuyvesant (East),16.6
2017-21,Bushwick (West),53.4
2017-21,Bushwick (East),50.2
2017-21,Cypress Hills,69.9
2017-21,East New York (North),34.4
2017-21,East New York-New Lots,24.3
2017-21,Spring Creek-Starrett City,15.6
2017-21,East New York-City Line,26.0
2017-21,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,18.1
2017-21,Park Slope,12.3
2017-21,Windsor Terrace-South Slope,14.2
2017-21,Sunset Park (West),57.7
2017-21,Sunset Park (Central),32.5
2017-21,Prospect Heights,8.8
2017-21,Crown Heights (North),13.6
2017-21,Crown Heights (South),10.5
2017-21,Prospect Lefferts Gardens-Wingate,8.4
2017-21,Bay Ridge,19.7
2017-21,Dyker Heights,13.3
2017-21,Bensonhurst,18.1
2017-21,Bath Beach,15.2
2017-21,Gravesend (West),12.9
2017-21,Sunset Park (East)-Borough Park (West),24.4
2017-21,Borough Park,7.8
2017-21,Kensington,16.4
2017-21,Mapleton-Midwood (West),9.4
2017-21,Gravesend (South),15.9
2017-21,Coney Island-Sea Gate,18.9
2017-21,Brighton Beach,12.3
2017-21,Flatbush,17.8
2017-21,Flatbush (West)-Ditmas Park-Parkville,17.9
2017-21,Midwood,7.5
2017-21,Gravesend (East)-Homecrest,12.6
2017-21,Madison,7.4
2017-21,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,8.6
2017-21,Ocean Hill,22.2
2017-21,Brownsville,23.1
2017-21,East Flatbush-Erasmus,6.8
2017-21,East Flatbush-Farragut,8.7
2017-21,East Flatbush-Rugby,6.3
2017-21,East Flatbush-Remsen Village,5.7
2017-21,Flatlands,8.7
2017-21,Marine Park-Mill Basin-Bergen Beach,7.7
2017-21,Canarsie,8.7
2017-21,Financial District-Battery Park City,6.9
2017-21,Tribeca-Civic Center,11.9
2017-21,SoHo-Little Italy-Hudson Square,8.0
2017-21,Greenwich Village,7.0
2017-21,West Village,9.4
2017-21,Chinatown-Two Bridges,17.2
2017-21,Lower East Side,30.8
2017-21,East Village,23.1
2017-21,Chelsea-Hudson Yards,17.3
2017-21,Hell's Kitchen,20.7
2017-21,Midtown South-Flatiron-Union Square,11.0
2017-21,Midtown-Times Square,12.7
2017-21,Stuyvesant Town-Peter Cooper Village,7.4
2017-21,Gramercy,6.8
2017-21,Murray Hill-Kips Bay,10.8
2017-21,East Midtown-Turtle Bay,8.1
2017-21,Upper West Side-Lincoln Square,8.3
2017-21,Upper West Side (Central),13.2
2017-21,Upper West Side-Manhattan Valley,27.4
2017-21,Upper East Side-Lenox Hill-Roosevelt Island,8.9
2017-21,Upper East Side-Carnegie Hill,7.5
2017-21,Upper East Side-Yorkville,10.2
2017-21,Morningside Heights,20.1
2017-21,Manhattanville-West Harlem,50.6
2017-21,Hamilton Heights-Sugar Hill,48.9
2017-21,Harlem (South),18.9
2017-21,Harlem (North),26.3
2017-21,East Harlem (South),42.2
2017-21,East Harlem (North),45.1
2017-21,Washington Heights (South),70.7
2017-21,Washington Heights (North),63.3
2017-21,Inwood,71.7
2017-21,Astoria (North)-Ditmars-Steinway,20.3
2017-21,Old Astoria-Hallets Point,35.8
2017-21,Astoria (Central),22.6
2017-21,Astoria (East)-Woodside (North),30.8
2017-21,Queensbridge-Ravenswood-Dutch Kills,32.1
2017-21,Long Island City-Hunters Point,10.0
2017-21,Sunnyside,34.5
2017-21,Woodside,37.8
2017-21,Jackson Heights,52.1
2017-21,East Elmhurst,55.9
2017-21,North Corona,84.8
2017-21,Elmhurst,42.2
2017-21,Corona,70.1
2017-21,Maspeth,34.4
2017-21,Ridgewood,47.2
2017-21,Glendale,44.4
