TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,13.0,9.0,16.0,48.0
2017-2019,UHF42,102,4,Northeast Bronx,61.0,37.0,36.0,81.0
2017-2019,UHF42,103,4,Fordham - Bronx Pk,101.0,79.0,49.0,112.0
2017-2019,UHF42,104,4,Pelham - Throgs Neck,83.0,58.0,34.0,80.0
2017-2019,UHF42,105,4,Crotona -Tremont,110.0,74.0,67.0,119.0
2017-2019,UHF42,106,4,High Bridge - Morrisania,129.0,84.0,78.0,138.0
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,88.0,60.0,83.0,147.0
2017-2019,UHF42,201,4,Greenpoint,12.0,5.0,14.0,21.0
2017-2019,UHF42,202,4,Downtown - Heights - Slope,50.0,22.0,23.0,43.0
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,149.0,79.0,55.0,107.0
2017-2019,UHF42,204,4,East New York,87.0,50.0,58.0,99.0
2017-2019,UHF42,205,4,Sunset Park,18.0,10.0,18.0,33.0
2017-2019,UHF42,206,4,Borough Park,23.0,15.0,10.0,14.0
2017-2019,UHF42,207,4,East Flatbush - Flatbush,90.0,48.0,37.0,75.0
2017-2019,UHF42,208,4,Canarsie - Flatlands,46.0,25.0,27.0,55.0
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,14.0,6.0,8.0,14.0
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,43.0,19.0,18.0,30.0
2017-2019,UHF42,211,4,Williamsburg - Bushwick,89.0,49.0,51.0,88.0
2017-2019,UHF42,301,4,Washington Heights,54.0,30.0,23.0,62.0
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,116.0,50.0,75.0,138.0
2017-2019,UHF42,303,4,East Harlem,85.0,38.0,90.0,160.0
2017-2019,UHF42,304,4,Upper West Side,36.0,13.0,18.0,40.0
2017-2019,UHF42,305,4,Upper East Side,11.0,5.0,6.0,16.0
2017-2019,UHF42,306,4,Chelsea - Clinton,28.0,7.0,18.0,50.0
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,16.0,4.0,12.0,35.0
2017-2019,UHF42,308,4,Greenwich Village - SoHo,4.0,1.0,6.0,14.0
2017-2019,UHF42,309,4,Union Square - Lower East Side,50.0,21.0,29.0,90.0
2017-2019,UHF42,310,4,Lower Manhattan,10.0,3.0,18.0,33.0
2017-2019,UHF42,401,4,Long Island City - Astoria,30.0,14.0,16.0,42.0
2017-2019,UHF42,402,4,West Queens,46.0,49.0,12.0,51.0
2017-2019,UHF42,403,4,Flushing - Clearview,13.0,11.0,6.0,25.0
2017-2019,UHF42,404,4,Bayside - Little Neck,2.0,2.0,2.0,10.0
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,20.0,13.0,9.0,24.0
2017-2019,UHF42,406,4,Fresh Meadows,8.0,8.0,10.0,34.0
2017-2019,UHF42,407,4,Southwest Queens,37.0,25.0,16.0,38.0
2017-2019,UHF42,408,4,Jamaica,61.0,41.0,23.0,59.0
