TimePeriod,GeoType,GeoID,GeoRank,Geography,Asian alone (percent),Black alone (percent),Hispanic alone (percent),Non-white (percent),Total population,White alone (percent)
2017-21,NTA2020,50101,9,Mott Haven-Port Morris,0.3,26.0,69.6,97.0,"54,828",3.0
2017-21,NTA2020,50102,9,Melrose,0.7,26.0,70.2,98.0,"42,674",2.0
2017-21,NTA2020,50201,9,Hunts Point,0.2,24.5,71.8,98.2,"14,509",1.8
2017-21,NTA2020,50202,9,Longwood,0.5,23.1,73.0,97.8,"40,395",2.2
2017-21,NTA2020,50301,9,Morrisania,0.8,39.6,55.5,98.6,"35,703",1.4
2017-21,NTA2020,50302,9,Claremont Village-Claremont (East),0.0,49.7,47.3,98.9,"24,648",1.1
2017-21,NTA2020,50303,9,Crotona Park East,0.5,34.2,62.1,99.2,"29,120",0.8
2017-21,NTA2020,50401,9,Concourse-Concourse Village,1.7,33.7,59.4,96.6,"68,876",3.4
2017-21,NTA2020,50402,9,Highbridge,0.4,32.6,61.8,97.3,"33,144",2.7
2017-21,NTA2020,50403,9,Mount Eden-Claremont (West),0.9,23.4,71.0,97.6,"52,923",2.4
2017-21,NTA2020,50501,9,University Heights (South)-Morris Heights,2.4,25.1,68.7,98.1,"55,415",1.9
2017-21,NTA2020,50502,9,Mount Hope,1.0,29.8,64.6,98.4,"48,934",1.6
2017-21,NTA2020,50503,9,Fordham Heights,1.1,20.1,75.5,99.1,"33,865",0.9
2017-21,NTA2020,50601,9,West Farms,0.5,22.4,73.4,97.9,"18,633",2.1
2017-21,NTA2020,50602,9,Tremont,0.5,34.5,62.4,98.8,"32,097",1.2
2017-21,NTA2020,50603,9,Belmont,2.1,21.6,61.2,87.3,"35,619",12.7
2017-21,NTA2020,50701,9,University Heights (North)-Fordham,2.0,11.2,82.1,97.5,"47,047",2.5
2017-21,NTA2020,50702,9,Bedford Park,4.4,14.1,75.1,95.1,"56,967",4.9
2017-21,NTA2020,50703,9,Norwood,11.4,14.8,60.7,89.5,"41,357",10.5
2017-21,NTA2020,50801,9,Kingsbridge Heights-Van Cortlandt Village,3.3,14.5,71.1,90.8,"36,201",9.2
2017-21,NTA2020,50802,9,Kingsbridge-Marble Hill,3.1,11.3,67.1,84.4,"26,452",15.6
2017-21,NTA2020,50803,9,Riverdale-Spuyten Duyvil,4.3,9.1,25.0,42.8,"47,309",57.2
2017-21,NTA2020,50901,9,Soundview-Bruckner-Bronx River,4.2,26.6,63.7,97.9,"68,566",2.1
2017-21,NTA2020,50902,9,Soundview-Clason Point,1.0,27.6,67.7,97.8,"36,401",2.2
2017-21,NTA2020,50903,9,Castle Hill-Unionport,13.2,23.1,54.9,96.0,"39,440",4.0
2017-21,NTA2020,50904,9,Parkchester,20.0,36.0,38.8,98.3,"30,824",1.7
2017-21,NTA2020,51001,9,Westchester Square,20.8,10.8,58.0,94.7,"16,137",5.3
2017-21,NTA2020,51002,9,Throgs Neck-Schuylerville,5.8,8.7,50.3,67.4,"49,408",32.6
2017-21,NTA2020,51003,9,Pelham Bay-Country Club-City Island,4.9,4.7,41.1,53.4,"28,126",46.6
2017-21,NTA2020,51004,9,Co-op City,2.7,60.0,28.5,94.6,"37,285",5.4
2017-21,NTA2020,51101,9,Pelham Parkway-Van Nest,6.2,16.4,56.1,83.0,"30,701",17.0
2017-21,NTA2020,51102,9,Morris Park,10.3,5.5,40.2,58.0,"22,807",42.0
2017-21,NTA2020,51103,9,Pelham Gardens,9.7,32.7,35.7,80.2,"30,315",19.8
2017-21,NTA2020,51104,9,Allerton,5.7,28.2,50.1,87.8,"36,771",12.2
2017-21,NTA2020,51201,9,Williamsbridge-Olinville,1.3,58.4,33.6,97.4,"62,282",2.6
2017-21,NTA2020,51202,9,Eastchester-Edenwald-Baychester,0.7,65.9,28.4,97.8,"57,325",2.2
2017-21,NTA2020,51203,9,Wakefield-Woodlawn,4.0,53.7,21.2,85.8,"49,639",14.2
2017-21,NTA2020,470101,9,Greenpoint,3.9,2.5,14.7,27.3,"37,518",72.7
2017-21,NTA2020,470102,9,Williamsburg,7.7,2.2,29.9,45.0,"63,316",55.0
2017-21,NTA2020,470103,9,South Williamsburg,0.5,3.3,8.4,13.7,"47,065",86.3
2017-21,NTA2020,470104,9,East Williamsburg,9.1,12.0,37.6,62.0,"53,478",38.0
2017-21,NTA2020,470201,9,Brooklyn Heights,7.5,5.4,7.0,25.5,"24,775",74.5
2017-21,NTA2020,470202,9,Downtown Brooklyn-DUMBO-Boerum Hill,17.5,15.2,15.6,53.3,"38,546",46.7
2017-21,NTA2020,470203,9,Fort Greene,10.8,30.2,16.1,65.9,"35,051",34.1
2017-21,NTA2020,470204,9,Clinton Hill,7.1,27.5,13.4,53.2,"27,368",46.8
2017-21,NTA2020,470301,9,Bedford-Stuyvesant (West),3.7,34.8,19.5,61.9,"89,224",38.1
2017-21,NTA2020,470302,9,Bedford-Stuyvesant (East),3.1,60.6,16.6,84.5,"92,298",15.5
2017-21,NTA2020,470401,9,Bushwick (West),7.4,5.7,53.4,70.1,"55,156",29.9
2017-21,NTA2020,470402,9,Bushwick (East),4.2,25.0,50.2,83.2,"62,987",16.8
2017-21,NTA2020,470501,9,Cypress Hills,4.4,18.2,69.9,95.8,"42,755",4.2
2017-21,NTA2020,470502,9,East New York (North),3.3,55.9,34.4,97.8,"44,841",2.2
2017-21,NTA2020,470503,9,East New York-New Lots,1.4,69.6,24.3,98.2,"52,314",1.8
2017-21,NTA2020,470504,9,Spring Creek-Starrett City,2.8,62.5,15.6,84.5,"15,917",15.5
2017-21,NTA2020,470505,9,East New York-City Line,9.4,58.3,26.0,97.2,"48,572",2.8
2017-21,NTA2020,470601,9,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5.6,14.8,18.1,45.2,"63,167",54.8
2017-21,NTA2020,470602,9,Park Slope,8.8,5.0,12.3,31.8,"60,202",68.2
2017-21,NTA2020,470701,9,Windsor Terrace-South Slope,9.7,2.5,14.2,31.3,"27,023",68.7
2017-21,NTA2020,470702,9,Sunset Park (West),11.4,4.2,57.7,76.3,"53,050",23.7
2017-21,NTA2020,470703,9,Sunset Park (Central),54.3,2.1,32.5,90.6,"46,012",9.4
2017-21,NTA2020,470801,9,Prospect Heights,7.3,19.9,8.8,43.3,"24,082",56.7
2017-21,NTA2020,470802,9,Crown Heights (North),3.2,56.7,13.6,78.8,"87,451",21.2
2017-21,NTA2020,470901,9,Crown Heights (South),0.9,55.3,10.5,68.9,"51,880",31.1
2017-21,NTA2020,470902,9,Prospect Lefferts Gardens-Wingate,3.2,59.2,8.4,75.3,"48,477",24.7
2017-21,NTA2020,471001,9,Bay Ridge,15.3,3.2,19.7,41.3,"85,796",58.7
2017-21,NTA2020,471002,9,Dyker Heights,43.4,1.4,13.3,59.5,"43,548",40.5
2017-21,NTA2020,471101,9,Bensonhurst,39.8,0.6,18.1,61.9,"102,241",38.1
2017-21,NTA2020,471102,9,Bath Beach,33.0,2.3,15.2,55.6,"33,765",44.4
2017-21,NTA2020,471103,9,Gravesend (West),42.6,1.6,12.9,60.6,"60,810",39.4
2017-21,NTA2020,471201,9,Sunset Park (East)-Borough Park (West),49.8,3.0,24.4,79.8,"30,773",20.2
2017-21,NTA2020,471202,9,Borough Park,7.0,0.6,7.8,18.3,"84,493",81.7
2017-21,NTA2020,471203,9,Kensington,24.1,7.8,16.4,52.9,"39,486",47.1
2017-21,NTA2020,471204,9,Mapleton-Midwood (West),10.9,1.3,9.4,24.2,"38,337",75.8
2017-21,NTA2020,471301,9,Gravesend (South),21.6,10.4,15.9,51.6,"29,353",48.4
2017-21,NTA2020,471302,9,Coney Island-Sea Gate,8.0,17.6,18.9,47.6,"51,871",52.4
2017-21,NTA2020,471303,9,Brighton Beach,8.4,0.8,12.3,28.5,"31,295",71.5
2017-21,NTA2020,471401,9,Flatbush,4.1,58.4,17.8,84.2,"69,495",15.8
2017-21,NTA2020,471402,9,Flatbush (West)-Ditmas Park-Parkville,18.1,19.3,17.9,59.4,"42,020",40.6
2017-21,NTA2020,471403,9,Midwood,13.8,5.6,7.5,31.1,"53,963",68.9
2017-21,NTA2020,471501,9,Gravesend (East)-Homecrest,13.9,2.4,12.6,33.3,"53,438",66.7
2017-21,NTA2020,471502,9,Madison,24.9,3.1,7.4,39.1,"42,801",60.9
2017-21,NTA2020,471503,9,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,19.1,6.3,8.6,37.2,"68,331",62.8
2017-21,NTA2020,471601,9,Ocean Hill,1.2,65.5,22.2,91.8,"40,043",8.2
2017-21,NTA2020,471602,9,Brownsville,1.5,69.3,23.1,98.2,"49,099",1.8
2017-21,NTA2020,471701,9,East Flatbush-Erasmus,2.1,79.3,6.8,93.5,"45,024",6.5
2017-21,NTA2020,471702,9,East Flatbush-Farragut,2.5,80.3,8.7,97.9,"35,993",2.1
2017-21,NTA2020,471703,9,East Flatbush-Rugby,1.3,85.4,6.3,96.8,"40,186",3.2
2017-21,NTA2020,471704,9,East Flatbush-Remsen Village,0.5,84.1,5.7,96.6,"37,761",3.4
2017-21,NTA2020,471801,9,Flatlands,5.2,65.7,8.7,84.5,"71,676",15.5
2017-21,NTA2020,471802,9,Marine Park-Mill Basin-Bergen Beach,11.4,14.4,7.7,37.5,"46,698",62.5
2017-21,NTA2020,471803,9,Canarsie,2.4,80.5,8.7,95.7,"90,185",4.3
2017-21,NTA2020,610101,9,Financial District-Battery Park City,19.8,2.8,6.9,35.1,"48,262",64.9
2017-21,NTA2020,610102,9,Tribeca-Civic Center,14.9,5.9,11.9,36.3,"23,993",63.7
2017-21,NTA2020,610201,9,SoHo-Little Italy-Hudson Square,25.6,0.9,8.0,36.9,"23,294",63.1
2017-21,NTA2020,610202,9,Greenwich Village,15.0,4.0,7.0,29.4,"32,580",70.6
2017-21,NTA2020,610203,9,West Village,5.4,1.7,9.4,20.7,"31,984",79.3
2017-21,NTA2020,610301,9,Chinatown-Two Bridges,62.5,6.6,17.2,89.3,"41,533",10.7
2017-21,NTA2020,610302,9,Lower East Side,22.9,10.1,30.8,66.5,"45,118",33.5
2017-21,NTA2020,610303,9,East Village,14.1,7.8,23.1,49.8,"70,450",50.2
2017-21,NTA2020,610401,9,Chelsea-Hudson Yards,12.2,5.6,17.3,39.3,"62,761",60.7
2017-21,NTA2020,610402,9,Hell's Kitchen,17.8,4.2,20.7,47.2,"55,169",52.8
2017-21,NTA2020,610501,9,Midtown South-Flatiron-Union Square,19.0,4.7,11.0,38.7,"28,209",61.3
2017-21,NTA2020,610502,9,Midtown-Times Square,19.2,7.3,12.7,45.4,"21,093",54.6
2017-21,NTA2020,610601,9,Stuyvesant Town-Peter Cooper Village,13.0,3.7,7.4,28.5,"22,327",71.5
2017-21,NTA2020,610602,9,Gramercy,15.6,5.6,6.8,31.2,"27,291",68.8
2017-21,NTA2020,610603,9,Murray Hill-Kips Bay,17.4,6.1,10.8,39.3,"58,079",60.7
2017-21,NTA2020,610604,9,East Midtown-Turtle Bay,12.6,1.3,8.1,23.8,"41,355",76.2
2017-21,NTA2020,610701,9,Upper West Side-Lincoln Square,14.9,4.3,8.3,33.2,"65,253",66.8
2017-21,NTA2020,610702,9,Upper West Side (Central),5.8,3.2,13.2,26.3,"102,851",73.7
2017-21,NTA2020,610703,9,Upper West Side-Manhattan Valley,11.5,12.3,27.4,53.7,"53,542",46.3
2017-21,NTA2020,610801,9,Upper East Side-Lenox Hill-Roosevelt Island,14.9,3.0,8.9,29.6,"81,894",70.4
2017-21,NTA2020,610802,9,Upper East Side-Carnegie Hill,5.9,0.7,7.5,17.3,"54,910",82.7
2017-21,NTA2020,610803,9,Upper East Side-Yorkville,9.3,4.0,10.2,26.6,"80,475",73.4
2017-21,NTA2020,610901,9,Morningside Heights,16.2,14.3,20.1,54.9,"38,346",45.1
2017-21,NTA2020,610902,9,Manhattanville-West Harlem,5.5,27.1,50.6,85.5,"23,847",14.5
2017-21,NTA2020,610903,9,Hamilton Heights-Sugar Hill,3.7,25.8,48.9,82.8,"53,595",17.2
2017-21,NTA2020,611001,9,Harlem (South),5.5,47.0,18.9,76.1,"50,774",23.9
2017-21,NTA2020,611002,9,Harlem (North),2.7,56.7,26.3,89.3,"83,057",10.7
2017-21,NTA2020,611101,9,East Harlem (South),13.0,22.3,42.2,81.4,"59,773",18.6
2017-21,NTA2020,611102,9,East Harlem (North),4.0,37.8,45.1,89.5,"64,720",10.5
2017-21,NTA2020,611201,9,Washington Heights (South),3.6,10.1,70.7,86.5,"82,547",13.5
2017-21,NTA2020,611202,9,Washington Heights (North),2.8,3.7,63.3,72.6,"83,526",27.4
2017-21,NTA2020,611203,9,Inwood,2.7,5.3,71.7,82.3,"42,900",17.7
2017-21,NTA2020,810101,9,Astoria (North)-Ditmars-Steinway,9.0,3.0,20.3,36.2,"48,555",63.8
2017-21,NTA2020,810102,9,Old Astoria-Hallets Point,15.9,10.0,35.8,65.9,"13,273",34.1
2017-21,NTA2020,810103,9,Astoria (Central),17.1,2.3,22.6,47.2,"47,618",52.8
2017-21,NTA2020,810104,9,Astoria (East)-Woodside (North),14.4,4.0,30.8,53.5,"36,805",46.5
2017-21,NTA2020,810105,9,Queensbridge-Ravenswood-Dutch Kills,19.9,17.4,32.1,74.6,"26,078",25.4
2017-21,NTA2020,810201,9,Long Island City-Hunters Point,32.9,3.5,10.0,51.9,"24,301",48.1
2017-21,NTA2020,810202,9,Sunnyside,27.2,1.9,34.5,67.5,"49,937",32.5
2017-21,NTA2020,810203,9,Woodside,41.5,0.7,37.8,81.6,"48,799",18.4
2017-21,NTA2020,810301,9,Jackson Heights,24.5,2.7,52.1,82.4,"93,703",17.6
2017-21,NTA2020,810302,9,East Elmhurst,15.4,19.6,55.9,93.4,"25,017",6.6
2017-21,NTA2020,810303,9,North Corona,7.3,5.2,84.8,97.9,"42,928",2.1
2017-21,NTA2020,810401,9,Elmhurst,48.7,1.3,42.2,94.5,"104,009",5.5
2017-21,NTA2020,810402,9,Corona,14.2,7.8,70.1,93.5,"73,657",6.5
2017-21,NTA2020,810501,9,Maspeth,12.3,0.8,34.4,49.9,"43,999",50.1
2017-21,NTA2020,810502,9,Ridgewood,8.1,2.3,47.2,60.0,"73,527",40.0
2017-21,NTA2020,810503,9,Glendale,4.2,1.3,44.4,51.3,"36,257",48.7
2017-21,NTA2020,810504,9,Middle Village,12.0,0.6,20.7,36.4,"37,098",63.6
2017-21,NTA2020,810601,9,Rego Park,37.3,3.3,18.9,62.8,"30,274",37.2
2017-21,NTA2020,810602,9,Forest Hills,27.6,3.2,15.2,51.5,"92,512",48.5
2017-21,NTA2020,810701,9,College Point,30.5,1.9,40.7,74.1,"31,377",25.9
2017-21,NTA2020,810702,9,Whitestone-Beechhurst,23.1,0.3,14.2,39.5,"31,085",60.5
2017-21,NTA2020,810703,9,Bay Terrace-Clearview,26.5,1.1,14.0,44.5,"23,745",55.5
2017-21,NTA2020,810704,9,Murray Hill-Broadway Flushing,59.5,1.4,15.6,78.2,"56,025",21.8
2017-21,NTA2020,810705,9,East Flushing,64.6,2.3,16.7,86.3,"30,768",13.7
2017-21,NTA2020,810706,9,Queensboro Hill,66.6,1.2,16.6,87.1,"20,744",12.9
2017-21,NTA2020,810707,9,Flushing-Willets Point,74.5,2.8,12.4,91.8,"59,360",8.2
2017-21,NTA2020,810801,9,Kew Gardens Hills,23.5,7.7,15.3,49.9,"35,489",50.1
2017-21,NTA2020,810802,9,Pomonok-Electchester-Hillcrest,27.3,12.2,28.5,72.1,"36,510",27.9
2017-21,NTA2020,810803,9,Fresh Meadows-Utopia,50.6,7.1,10.1,70.8,"22,124",29.2
2017-21,NTA2020,810804,9,Jamaica Estates-Holliswood,28.8,25.6,14.2,73.9,"25,084",26.1
2017-21,NTA2020,810805,9,Jamaica Hills-Briarwood,36.0,14.5,22.2,80.9,"41,024",19.1
2017-21,NTA2020,810901,9,Kew Gardens,18.4,6.5,24.7,54.3,"24,167",45.7
2017-21,NTA2020,810902,9,Richmond Hill,25.8,7.9,41.5,84.9,"35,842",15.1
2017-21,NTA2020,810903,9,South Richmond Hill,40.2,12.4,22.7,96.8,"23,436",3.2
2017-21,NTA2020,810904,9,Ozone Park (North),33.1,3.8,44.8,86.4,"26,450",13.6
2017-21,NTA2020,810905,9,Woodhaven,17.8,4.3,59.7,86.0,"41,984",14.0
2017-21,NTA2020,811001,9,South Ozone Park,33.0,19.1,22.1,95.3,"86,560",4.7
2017-21,NTA2020,811002,9,Ozone Park,27.4,6.0,39.0,81.0,"25,905",19.0
2017-21,NTA2020,811003,9,Howard Beach-Lindenwood,5.1,3.6,24.9,35.6,"30,915",64.4
2017-21,NTA2020,811101,9,Auburndale,45.6,1.3,16.2,65.8,"35,803",34.2
2017-21,NTA2020,811102,9,Bayside,46.4,3.3,12.1,64.1,"36,255",35.9
2017-21,NTA2020,811103,9,Douglaston-Little Neck,44.1,2.0,9.9,58.3,"26,547",41.7
2017-21,NTA2020,811104,9,Oakland Gardens-Hollis Hills,39.4,2.9,17.3,62.9,"27,411",37.1
