TimePeriod,Geography,Percent
2017-21,Mott Haven-Port Morris,43.7
2017-21,Melrose,40.7
2017-21,Hunts Point,34.3
2017-21,Longwood,32.0
2017-21,Morrisania,35.7
2017-21,Claremont Village-Claremont (East),43.2
2017-21,Crotona Park East,29.4
2017-21,Concourse-Concourse Village,31.9
2017-21,Highbridge,33.9
2017-21,Mount Eden-Claremont (West),31.8
2017-21,University Heights (South)-Morris Heights,34.4
2017-21,Mount Hope,30.2
2017-21,Fordham Heights,33.2
2017-21,West Farms,44.8
2017-21,Tremont,36.3
2017-21,Belmont,39.6
2017-21,University Heights (North)-Fordham,25.8
2017-21,Bedford Park,24.8
2017-21,Norwood,29.3
2017-21,Kingsbridge Heights-Van Cortlandt Village,25.1
2017-21,Kingsbridge-Marble Hill,26.6
2017-21,Riverdale-Spuyten Duyvil,6.8
2017-21,Soundview-Bruckner-Bronx River,30.1
2017-21,Soundview-Clason Point,24.4
2017-21,Castle Hill-Unionport,21.6
2017-21,Parkchester,21.0
2017-21,Westchester Square,22.0
2017-21,Throgs Neck-Schuylerville,14.4
2017-21,Pelham Bay-Country Club-City Island,9.8
2017-21,Co-op City,9.5
2017-21,Pelham Parkway-Van Nest,16.7
2017-21,Morris Park,11.5
2017-21,Pelham Gardens,12.6
2017-21,Allerton,24.6
2017-21,Williamsbridge-Olinville,21.0
2017-21,Eastchester-Edenwald-Baychester,15.1
2017-21,Wakefield-Woodlawn,15.2
2017-21,Greenpoint,9.3
2017-21,Williamsburg,15.8
2017-21,South Williamsburg,50.3
2017-21,East Williamsburg,25.4
2017-21,Brooklyn Heights,4.0
2017-21,Downtown Brooklyn-DUMBO-Boerum Hill,16.0
2017-21,Fort Greene,18.5
2017-21,Clinton Hill,9.4
2017-21,Bedford-Stuyvesant (West),26.0
2017-21,Bedford-Stuyvesant (East),22.2
2017-21,Bushwick (West),20.7
2017-21,Bushwick (East),24.3
2017-21,Cypress Hills,19.3
2017-21,East New York (North),25.5
2017-21,East New York-New Lots,25.3
2017-21,Spring Creek-Starrett City,25.2
2017-21,East New York-City Line,26.0
2017-21,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14.5
2017-21,Park Slope,5.1
2017-21,Windsor Terrace-South Slope,7.9
2017-21,Sunset Park (West),16.4
2017-21,Sunset Park (Central),23.2
2017-21,Prospect Heights,7.3
2017-21,Crown Heights (North),20.5
2017-21,Crown Heights (South),17.4
2017-21,Prospect Lefferts Gardens-Wingate,16.1
2017-21,Bay Ridge,11.4
2017-21,Dyker Heights,18.5
2017-21,Bensonhurst,16.8
2017-21,Bath Beach,15.3
2017-21,Gravesend (West),19.1
2017-21,Sunset Park (East)-Borough Park (West),27.4
2017-21,Borough Park,34.5
2017-21,Kensington,14.5
2017-21,Mapleton-Midwood (West),19.7
2017-21,Gravesend (South),20.3
2017-21,Coney Island-Sea Gate,27.4
2017-21,Brighton Beach,23.0
2017-21,Flatbush,13.7
2017-21,Flatbush (West)-Ditmas Park-Parkville,15.5
2017-21,Midwood,15.5
2017-21,Gravesend (East)-Homecrest,15.9
2017-21,Madison,15.5
2017-21,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,13.6
2017-21,Ocean Hill,27.3
2017-21,Brownsville,37.2
2017-21,East Flatbush-Erasmus,15.2
2017-21,East Flatbush-Farragut,10.1
2017-21,East Flatbush-Rugby,12.3
2017-21,East Flatbush-Remsen Village,18.7
2017-21,Flatlands,10.1
2017-21,Marine Park-Mill Basin-Bergen Beach,5.8
2017-21,Canarsie,13.0
2017-21,Financial District-Battery Park City,5.4
2017-21,Tribeca-Civic Center,3.9
2017-21,SoHo-Little Italy-Hudson Square,11.1
2017-21,Greenwich Village,7.9
2017-21,West Village,6.9
2017-21,Chinatown-Two Bridges,32.4
2017-21,Lower East Side,24.9
2017-21,East Village,24.3
2017-21,Chelsea-Hudson Yards,11.5
2017-21,Hell's Kitchen,14.0
2017-21,Midtown South-Flatiron-Union Square,10.1
2017-21,Midtown-Times Square,10.4
2017-21,Stuyvesant Town-Peter Cooper Village,10.4
2017-21,Gramercy,10.8
