TimePeriod,GeoType,Geography,Percent
2017-21,UHF42,Kingsbridge - Riverdale,16.2
2017-21,UHF42,Northeast Bronx,14.8
2017-21,UHF42,Fordham - Bronx Pk,27.7
2017-21,UHF42,Pelham - Throgs Neck,20.3
2017-21,UHF42,Crotona -Tremont,33.6
2017-21,UHF42,High Bridge - Morrisania,35.8
2017-21,UHF42,Hunts Point - Mott Haven,36.3
2017-21,UHF42,Greenpoint,17.1
2017-21,UHF42,Downtown - Heights - Slope,13.7
2017-21,UHF42,Bedford Stuyvesant - Crown Heights,21.6
2017-21,UHF42,East New York,24.3
2017-21,UHF42,Sunset Park,20.8
2017-21,UHF42,Borough Park,21.8
2017-21,UHF42,East Flatbush - Flatbush,13.3
2017-21,UHF42,Canarsie - Flatlands,11.6
2017-21,UHF42,Bensonhurst - Bay Ridge,14.4
2017-21,UHF42,Coney Island - Sheepshead Bay,18.7
2017-21,UHF42,Williamsburg - Bushwick,27.1
2017-21,UHF42,Washington Heights,18.4
2017-21,UHF42,Central Harlem - Morningside Heights,23.9
2017-21,UHF42,East Harlem,31.9
2017-21,UHF42,Upper West Side,11.0
2017-21,UHF42,Upper East Side,6.8
2017-21,UHF42,Chelsea - Clinton,11.9
2017-21,UHF42,Gramercy Park - Murray Hill,7.9
2017-21,UHF42,Greenwich Village - SoHo,9.4
2017-21,UHF42,Union Square - Lower East Side,22.0
2017-21,UHF42,Lower Manhattan,9.6
2017-21,UHF42,Long Island City - Astoria,11.0
2017-21,UHF42,West Queens,12.5
2017-21,UHF42,Flushing - Clearview,14.1
2017-21,UHF42,Bayside - Little Neck,7.8
2017-21,UHF42,Ridgewood - Forest Hills,9.1
2017-21,UHF42,Fresh Meadows,11.5
2017-21,UHF42,Southwest Queens,10.4
2017-21,UHF42,Jamaica,12.0
2017-21,UHF42,Southeast Queens,6.2
2017-21,UHF42,Rockaways,18.0
2017-21,UHF42,Port Richmond,17.0
2017-21,UHF42,Stapleton - St. George,13.1
2017-21,UHF42,Willowbrook,9.3
2017-21,UHF42,South Beach - Tottenville,6.7
