TimePeriod,GeoType,Geography,Mean mcg/m3
Annual Average 2022,UHF34,Kingsbridge - Riverdale,6.0
Annual Average 2022,UHF34,Northeast Bronx,6.0
Annual Average 2022,UHF34,Fordham - Bronx Pk,6.1
Annual Average 2022,UHF34,Pelham - Throgs Neck,6.1
Annual Average 2022,UHF34,Greenpoint,6.5
Annual Average 2022,UHF34,Downtown - Heights - Slope,6.4
Annual Average 2022,UHF34,Bedford Stuyvesant - Crown Heights,5.9
Annual Average 2022,UHF34,East New York,5.7
Annual Average 2022,UHF34,Sunset Park,6.2
Annual Average 2022,UHF34,Borough Park,5.7
Annual Average 2022,UHF34,East Flatbush - Flatbush,5.6
Annual Average 2022,UHF34,Canarsie - Flatlands,5.4
Annual Average 2022,UHF34,Bensonhurst - Bay Ridge,5.6
Annual Average 2022,UHF34,Coney Island - Sheepshead Bay,5.4
Annual Average 2022,UHF34,Williamsburg - Bushwick,6.4
Annual Average 2022,UHF34,Washington Heights,6.3
Annual Average 2022,UHF34,Central Harlem - Morningside Heights,6.2
Annual Average 2022,UHF34,East Harlem,6.1
Annual Average 2022,UHF34,Upper West Side,6.1
Annual Average 2022,UHF34,Long Island City - Astoria,6.4
Annual Average 2022,UHF34,West Queens,6.2
Annual Average 2022,UHF34,Flushing - Clearview,5.9
Annual Average 2022,UHF34,Ridgewood - Forest Hills,5.8
Annual Average 2022,UHF34,Southwest Queens,5.5
Annual Average 2022,UHF34,Jamaica,5.6
Annual Average 2022,UHF34,Southeast Queens,5.4
Annual Average 2022,UHF34,Rockaways,5.0
Annual Average 2022,UHF34,Upper East Side-Gramercy,7.1
Annual Average 2022,UHF34,Chelsea-Village  ,8.3
Annual Average 2022,UHF34,Union Square-Lower Manhattan,7.3
Annual Average 2022,UHF34,Bayside Little Neck-Fresh Meadows,5.6
Annual Average 2022,UHF34,Northern SI,5.4
Annual Average 2022,UHF34,Southern SI,5.1
Annual Average 2022,UHF34,South Bronx,6.2
