TimePeriod,GeoType,GeoID,GeoRank,Geography,Everyday (number),Everyday (percent),Never (number),Never (percent),Sometimes (number),Sometimes (percent)
2017,UHF34,101,3,Kingsbridge - Riverdale,"6,000*","8.4* (3.9, 17.1)","46,000*","62.6* (62.3, 85.7)","21,000*","29.0* (19.7, 40.5)"
2017,UHF34,102,3,Northeast Bronx,"10,000","6.9 (3.9, 11.9)","97,000","65.3 (65.3, 83.0)","41,000","27.8 (20.8, 36.1)"
2017,UHF34,103,3,Fordham - Bronx Pk,"24,000","12.6 (8.4, 18.5)","102,000","53.9 (46.8, 62.9)","63,000","33.4 (26.8, 40.8)"
2017,UHF34,104,3,Pelham - Throgs Neck,"39,000","16.6 (11.4, 23.6)","114,000","49.1 (57.4, 72.9)","80,000","34.3 (27.5, 41.8)"
2017,UHF34,201,3,Greenpoint,"7,000*","7.1* (3.4, 14.1)","60,000*","58.1* (52.4, 76.6)","36,000*","34.8* (25, 46.1)"
2017,UHF34,202,3,Downtown - Heights - Slope,"18,000","9.9 (5.9, 16.1)","112,000","61.2 (53.0, 72.5)","53,000","28.9 (22.2, 36.7)"
2017,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"39,000","15.7 (11.3, 21.4)","139,000","56.7 (54.1, 67.4)","68,000","27.6 (22.7, 33.1)"
2017,UHF34,204,3,East New York,"21,000","15.7 (10.6, 22.8)","72,000","53.0 (57.0, 73.6)","43,000","31.3 (24.1, 39.5)"
2017,UHF34,205,3,Sunset Park,"6,000*","5.9* (2.6, 12.6)","67,000","67.2 (51.4, 71.8)","27,000","26.9 (19.4, 35.9)"
2017,UHF34,206,3,Borough Park,"19,000","7.6 (4.8, 11.8)","156,000","63.9 (52.6, 70.0)","70,000","28.5 (23, 34.9)"
2017,UHF34,207,3,East Flatbush - Flatbush,"21,000","9.0 (6, 13.4)","143,000","61.7 (49.8, 66.1)","68,000","29.4 (23.5, 36)"
2017,UHF34,208,3,Canarsie - Flatlands,"13,000*","8.7* (4.7, 15.3)","115,000","74.5 (59.0, 78.4)","26,000","16.8 (11.7, 23.5)"
